7月5日 16:48,懂王无敌！        ,1
7月5日 16:48,？特朗普又在放屁呢        ,1
7月5日 16:48,没有人比他更懂新冠        ,1
7月5日 16:48,新冠没什么大不了的，除了会死人 ,1
7月5日 16:48,特朗普说的都对 ,1
7月5日 16:48,这人说话不经大脑吗        ,1
7月5日 16:48,特朗普,1
7月5日 16:48,特朗普,1
7月5日 18:46,美国死亡率4.5%，99%无害啥意思？        ,1
7月5日 18:37,谁来帮忙把那13万人的棺材板按一下        ,1
7月5日 16:49,"13万亡灵被特朗普“无害""化了！        ",1
7月5日 18:36,那13万人气的从棺材里爬出来了        ,1
7月5日 16:49,就我一个人笑了吗？ ,1
7月5日 16:48,这是要把美国人民往死里坑啊 ,1
7月5日 16:49,每天一个作死技巧        ,1
7月5日 16:49,建国的胡言乱语不用报道了吧 ,2
7月5日 16:48,哇，这表情 ,2
7月5日 17:00,新冠,2
7月5日 16:48,我只知道你说的话99％是没用的        ,2
7月5日 16:53,新冠,2
7月5日 17:10,美国人这么好骗？        ,2
7月5日 16:49,特朗普不会说话就不要说话了 老脸当真不要了么        ,2
7月5日 16:48,又在放屁        ,2
7月5日 22:01,我怀疑这二傻子有抗体 ,2
7月5日 17:40,面对傻瓜你不要和他反驳，你要夸他最终让他成为一个大傻瓜 ,2
7月5日 16:49,？好无语啊真的 你稍微关心关心你的民众吧拜托了   现在真的不是打嘴炮的时候啊大哥  我晕        ,2
7月5日 17:38,确实无害，大不了就是会死        ,2
7月5日 16:49,缺心眼儿        ,2
7月5日 16:50,懂王又懂了        ,2
7月5日 16:49,二十一世纪最奇葩懂王！ ,2
7月5日 22:48,川建国，人民的好同志，党的好孩子。        ,3
7月5日 16:49,完全无害，死点人也没关系        ,3
7月5日 16:55,“2020年的新冠肺炎中，伟大的总统特朗普同志的所有行为都是正确的！是他让我们的国家如此发达！”多年后，一个美利坚共和国的历史老师如是说到。        ,3
7月5日 20:36,哈哈哈哈哈，我的傻普普        ,3
7月5日 16:48,懂王不愧是你 ,3
7月5日 16:48,懂王说的话        ,3
7月6日 00:15,那么美国已经死了13万，这就说美国已经感染人数是1300万，终于有真相了，川建国好同志 ,3
7月5日 17:14,​难道你就是愚蠢与无知并重，集不要脸与不要命于一身的特朗普？我对你的敬仰真是如滔滔江水，连绵不绝，又有如黄河泛滥一发不可收拾……        ,3
7月5日 16:48,国际知名艺人——特朗屁王        ,3
7月6日 01:46,在这个世界上，我只佩服两个人，一个是美国总统特朗普，满口胡话、自吹自擂，脸皮比城墙还厚，另一个是我自已，在贫困线上苦苦挣扎还纵览天下大事、乐此不疲        ,3
7月5日 16:48,无害=对他个人财产没有损害        ,3
7月5日 21:57,脑子是个好东西啊 ,3
7月5日 18:46,这人说话超级搞笑，在我们老家成为半吊子，二虎头 ,3
7月5日 18:18,行吧，你说无害就无害，反正死的也不是中国人        ,3
7月5日 17:51,？        ,3
7月5日 16:49,吐了 ,4
7月5日 16:48,你在说peach        ,4
7月5日 16:48,哎呀这个脑子 ,4
7月5日 16:48,行吧佩服哈        ,4
7月5日 16:48,？？？        ,4
7月5日 18:13,新冠肺炎专家——特没谱        ,4
7月6日 09:26,还真不希望他下台        ,4
7月6日 08:29,他怕是风油精和清凉油生的孩子吧，净搁这说风凉话 ,4
7月6日 07:52,没人比我更了解新冠        ,4
7月6日 01:24,那就是所有因新冠去世的人就是得了那有害的1%？        ,4
7月6日 01:03,无害的意思是不会传染给特朗普完美注释 ,4
7月6日 01:03, ,4
7月6日 00:16,他拿到的稿子是不是无症状？文盲+记忆力退化+嘴瓢＝无害        ,4
7月5日 23:55,每日一屁1/1完成 ,4
7月5日 22:41,哇偶~        ,4
7月5日 22:37,他绝对是被新冠逼疯了        ,5
7月5日 22:34,不愧是特靠谱 ,5
7月5日 22:09,做梦呢？        ,5
7月5日 22:09,若要使其灭亡，必先让其疯狂～（来自上帝的忠告）。离美国远点，小心小心（本果果的忠告）。        ,5
7月5日 22:01,Know king knows everything ,5
7月5日 21:57,这B是不是疯了？        ,5
7月5日 21:57,笑死我吧        ,5
