2月15日 19:12,都这么谨慎了，那他到底是怎么被传染的呢？        ,1
2月15日 19:19,必须说，他的素质是高的！ ,1
2月15日 19:11,这才是好小伙 比那几个好多了！        ,1
2月15日 19:22,声音好好听 ,1
2月15日 22:32,他谨慎是因为那时候武汉已经有疫情了，同时他还得在学校吃饭生活吧。在听到风声就开始防备，觉悟已经很高了好么！该给人家点赞的！        ,1
2月15日 20:23,【言休微评】现身说法，活生生的教材。小伙的故事说明了一个道理:有备无患，机遇永远青睐那些有准备的头脑。为小伙的睿智而点赞！        ,1
2月15日 19:11,崇州公子        ,1
2月15日 19:14,这才是正确的做法，这位同学很棒        ,1
2月15日 20:30,山西也有一个，现在治愈出院了。看她的运动轨迹，也是回山西路上全程戴口罩，到了家里，只在卧室，父母给送饭到卧室门口。睡觉都自觉戴口罩。发现自己不舒服，就去了医院，然后现在治愈出院了。这种人真的太棒，对比那种明知自己病了，还到处窜的人。人跟人的差别真的太大了。        ,1
2月15日 20:30,他朋友圈看到的提前买的口罩，这个消息多亏了李医生…缅怀        ,1
2月15日 19:13,我才发现一些憨批营销号  真的跟弱智没两样 ,1
2月15日 19:16,人民日报就是家媒体 为啥要人家做公检法的工作？微博本科率有没有4%？        ,1
2月15日 20:06,12月底学生就意识到严重性了，可是武汉部分人还说不会人传人，可控。        ,1
2月15日 19:13,防护得这么好，我就想知道他是怎么被感染的 ,1
2月15日 19:15,毛爷爷说的对啊，人民日报就是二流报纸。        ,1
2月15日 20:28,去年年底在武汉的就知道肺炎了，其他省连个消息都没有我1.19才知道有这个肺炎，所以为森么不提前告诉老百姓呢，是卫健委没上报吗？这就是领导们的工作态度吗？👴i了        ,2
2月15日 22:18,又说，别打脸了        ,2
2月15日 19:11,这个小伙太牛了，一定是天选之人        ,2
2月15日 20:16,歪个楼 小伙子声音好好听        ,2
2月15日 19:14,听起来确实很谨慎，那么小伙子是怎么被感染的？        ,2
2月15日 23:36,他是怎么做到的，换了是我估计做不到有那么强的意思 ,2
2月15日 19:12,不是我说，老刷那个评论也没啥用 ,2
2月15日 20:04,他应该是先感染了以后才做的防护。看起来是知道的时候已经晚了。这病毒🦠真可怕。😓        ,2
2月15日 19:39,毛主席活着就好了        ,2
2月15日 20:15,有文化的重要性！        ,2
2月15日 20:31,就是说在武汉12月底就有相当一大部分人知道肺炎这个事情了，然后被全国人重视却实在大年前几天……        ,2
2月15日 20:34,我老师的孩子，我们这都听说了，挺佩服他的        ,2
2月15日 20:47,这是个负责任的好小伙        ,2
2月15日 19:39,人民日报，胡说八道，害人性命，装不知道。        ,2
2月15日 19:11,毛主席万岁        ,3
2月15日 19:35,为小伙高素质点赞！👍👍👍要不然他传染多少人        ,3
2月15日 19:55,小伙子做得好唯一遗漏的是当初住的宾馆在退房的时候，没有告诉宾馆的人应对房间进行消杀。        ,3
2月15日 21:21,额们安康娃 只然是牛批 ,3
2月15日 22:29,我也是武汉读书的大学生12月底看到朋友圈说武汉有疑似SARS加上武汉地震了一小下，预感不好就买了1月1号回山东的票，回家路上不管是地铁还是高铁上我都带着两层医用口罩。如果等到一月十几号再回家真有可能中招🙏还是感谢那些吹哨人感谢李医生！某些官员一句可防可控不人传人，不知害了多少人。        ,3
2月15日 20:52,男孩子素质很高 父母也不赖 积极配合政府 主动报备隔离 无形中减少很多传染机会   将来走入社会 你会是合格的合伙人 合格的丈夫和父亲 你值得        ,3
2月15日 20:39,23号不是应该武汉封城了嘛？他是逃出来的？        ,3
2月15日 20:58,素质高 小伙子 ,3
2月15日 19:12,防护的很好啊        ,3
2月15日 20:46,四十多人只能说明接触人寻找的并不多。郑州转车的呢？西安住宿的那些人呢？房间打扫得人呢？等等等等。        ,3
2月15日 20:29,说实在的 这种才是正常人的思维吧 那些妖魔鬼怪到底是啥脑回路的啊 ,3
2月15日 21:52,我就是这样进行自我隔离的 这是我过得最痛苦的一个春节 每天在自己的小屋里不允许任何人进 吃饭都是带着口罩夹到碗里回屋里吃饭 也不允许任何人和我接近 每天无限次的测量体温喷酒精 无数次的哭泣害怕父母有任何问题 就这样忐忑过了20多天 直到确认没有问题 如果不是这次 我永远不知道我那么爱我父母          ,3
